coverage_id,lane,sample_id,factor_family,interaction_class
happy.baseline,happy,chr21,invocation,baseline
happy.pass_only,happy,chr21_passonly,selection,single
happy.location,happy,chr21_region,selection,single
happy.pass_location,happy,chr21_passonly_region,selection,pairwise
happy.artifacts_disabled,happy,chr21_artifact_controls,artifact_set,pairwise
happy.unhappy_engine,happy,chr21_unhappy,engine,single
happy.scmp_somatic,happy,chr21_scmp_somatic,engine,single
happy.scmp_distance,happy,synthetic_scmp_distance,engine,pairwise
happy.xcmp_tuning,happy,chr21_xcmp_controls,tuning,pairwise
happy.truth_preprocessing,happy,chr21_preprocess_controls,preprocessing,pairwise
happy.filtered_truth,happy,chr21_filtered_truth,selection,single
happy.output_metadata,happy,chr21_output_metadata,artifact_set,pairwise
happy.bcf_output,happy,matrix_bcf,format,format
happy.gvcf_conversion,happy,matrix_gvcf_conversion,preprocessing,pairwise
happy.restrict_filters,happy,matrix_restrict_filters,selection,pairwise
happy.targets,happy,matrix_targets,selection,single
happy.roc_stratification,happy,matrix_roc_stratification,reporting,pairwise
happy.gt_fix_normalize,happy,matrix_gt_fix_normalize,preprocessing,pairwise
happy.scmp_defaults,happy,matrix_scmp_default_first,engine,precedence
sompy.unknown_nonpass,sompy,chr21_includenonpass_countunk,unknowns,pairwise
sompy.include_nonpass,sompy,chr21_includenonpass,selection,single
sompy.count_unknown,sompy,chr21_passonly_countunk,unknowns,single
sompy.generic,sompy,chr21_minimal,feature_table,baseline
sompy.strelka_indel,sompy,grch38_indels,feature_table,single
sompy.happy_stats,sompy,grch38_indels_happy,reporting,pairwise
sompy.af_bins,sompy,grch38_indels_af,reporting,pairwise
sompy.strelka_snv,sompy,grch38_snvs,feature_table,single
sompy.roc,sompy,grch38_snvs_roc,reporting,pairwise
sompy.normalize_query,sompy,normalize_query,normalization,single
sompy.normalize_filtered_fn,sompy,normalize_all_filtered_fn,normalization,pairwise
sompy.bam_depth,sompy,somatic_bam_depth,bam,pairwise
sompy.auto_query_contig,sompy,matrix_auto_query_contig,contig,single
sompy.count_toggle_on,sompy,matrix_count_toggle_on,unknowns,precedence
sompy.count_toggle_off,sompy,matrix_count_toggle_off,unknowns,precedence
sompy.ambiguity_last_off,sompy,matrix_ambiguity_last_off,unknowns,precedence
sompy.ambiguity_last_on,sompy,matrix_ambiguity_last_on,unknowns,precedence
sompy.location_denominator,sompy,matrix_location_fp_denominator,selection,pairwise
sompy.restrict_regions,sompy,matrix_restrict_regions,selection,single
sompy.target_regions,sompy,matrix_target_regions,selection,single
sompy.normalize_truth_fixchr,sompy,matrix_normalize_truth_fixchr_ci,normalization,pairwise
sompy.happy_custom_af,sompy,matrix_snv_happy_custom_af,reporting,pairwise
sompy.roc_af,sompy,matrix_snv_roc_af,reporting,pairwise
prepy.baseline_gzip,prepy,chr21,format,baseline
prepy.pass_only,prepy,chr21_passonly,selection,single
prepy.no_fixchr,prepy,chr21_no_fixchr,contig,single
prepy.local_baseline,prepy,tiny_default,format,baseline
prepy.somatic,prepy,tiny_somatic,genotype,single
prepy.set_gt_half,prepy,tiny_set_gt_half,genotype,pairwise
prepy.set_gt_hemi,prepy,tiny_set_gt_hemi,genotype,pairwise
prepy.set_gt_het,prepy,tiny_set_gt_het,genotype,pairwise
prepy.set_gt_hom,prepy,tiny_set_gt_hom,genotype,pairwise
prepy.set_gt_first,prepy,tiny_set_gt_first,genotype,pairwise
prepy.set_gt_precedence,prepy,tiny_set_gt_then_somatic,genotype,precedence
prepy.convert_gvcf,prepy,tiny_convert_gvcf,normalization,single
prepy.no_normalize,prepy,tiny_no_normalize,normalization,pairwise
prepy.filters_only,prepy,tiny_filters_only,selection,pairwise
prepy.window_size,prepy,tiny_window_size,tuning,single
prepy.normalize_precedence,prepy,tiny_switch_precedence,normalization,precedence
prepy.gender_auto,prepy,tiny_gender_auto,genotype,single
prepy.gender_half_call,prepy,tiny_gender_half_call,genotype,pairwise
prepy.gender_male,prepy,tiny_gender_male,genotype,single
prepy.gender_female,prepy,tiny_gender_female,genotype,single
prepy.fixchr_precedence,prepy,tiny_fixchr_precedence,contig,precedence
prepy.bcftools_norm,prepy,tiny_bcftools_norm,normalization,pairwise
prepy.bcftools_norm_default,prepy,tiny_bcftools_norm_default,normalization,single
prepy.bcf_output,prepy,tiny_bcf_output,format,format
prepy.logging,prepy,tiny_verbose_log,operations,pairwise
prepy.symbolic_del,prepy,tiny_symbolic_del,normalization,single
prepy.location_postfix,prepy,matrix_location_postfix,selection,single
prepy.fixchr_auto,prepy,matrix_fixchr_auto,contig,single
prepy.fixchr_disabled,prepy,matrix_fixchr_disabled,contig,single
prepy.region_end_overlap,prepy,matrix_region_end_overlap,selection,single
prepy.target_start_only,prepy,matrix_target_start_only,selection,single
prepy.filters_any_unexcluded,prepy,matrix_filters_any_unexcluded,selection,single
prepy.pass_filters_precedence,prepy,matrix_pass_wins_filters,selection,precedence
prepy.window_isolated,prepy,matrix_window_isolated,tuning,single
prepy.window_neighbours,prepy,matrix_window_neighbours,tuning,single
prepy.bcf_input,prepy,matrix_bcf_input,format,format
prepy.parallel_blocksplit,prepy,chr21_parallel_blocksplit,tuning,pairwise
ftxpy.baseline,ftxpy,chr21,feature_table,baseline
ftxpy.include_nonpass,ftxpy,chr21_includenonpass,selection,single
ftxpy.strelka_hcc_snv,ftxpy,chr21_hcc_strelka_snv,feature_table,single
ftxpy.strelka_admix_snv,ftxpy,chr21_admix_strelka_snv,feature_table,single
ftxpy.grch38_snv,ftxpy,grch38_hcc_strelka_snv,feature_table,format
ftxpy.strelka_hcc_indel,ftxpy,grch38_hcc_strelka_indel,feature_table,single
ftxpy.strelka_admix_indel,ftxpy,grch38_admix_strelka_indel,feature_table,single
ftxpy.label_tp,ftxpy,chr21_hcc_strelka_snv_tp,feature_label,single
ftxpy.label_fn,ftxpy,chr21_hcc_strelka_snv_fn,feature_label,single
ftxpy.bam_depth,ftxpy,ftx_bam_depth,bam,single
ftxpy.called_nonref,ftxpy,ftx_called_nonref,normalization,single
ftxpy.location,ftxpy,ftx_location,selection,single
ftxpy.fix_chr,ftxpy,ftx_fix_chr,normalization,single
ftxpy.normalize,ftxpy,ftx_normalize,normalization,single
ftxpy.mutect_snv,ftxpy,ftx_mutect_snv,feature_table,single
ftxpy.varscan2_snv,ftxpy,ftx_varscan2_snv,feature_table,single
ftxpy.pisces_snv,ftxpy,ftx_pisces_snv,feature_table,single
ftxpy.empty_label,ftxpy,ftx_empty_label,feature_label,boundary
ftxpy.mutect_indel,ftxpy,ftx_mutect_indel,feature_table,single
ftxpy.mutect_reversed_samples,ftxpy,ftx_mutect_reversed_samples,feature_table,pairwise
ftxpy.varscan2_indel,ftxpy,ftx_varscan2_indel,feature_table,single
ftxpy.pisces_indel,ftxpy,ftx_pisces_indel,feature_table,single
ftxpy.selector_normalize,ftxpy,ftx_selector_normalize,normalization,pairwise
ftxpy.empty_input,ftxpy,ftx_empty_input,format,boundary
qfy.xcmp_baseline,qfy,chr21_region,annotation,baseline
qfy.ga4gh,qfy,chr21_ga4gh,annotation,single
qfy.ga4gh_roc,qfy,chr21_ga4gh_roc_controls,reporting,pairwise
qfy.ga4gh_artifacts,qfy,chr21_ga4gh_artifacts,artifact_set_bcf_vtc_runtime_controls,pairwise
vcfcheck.baseline,vcfcheck,formats,validation,baseline
vcfcheck.warning_controls,vcfcheck,warning_controls,diagnostics,pairwise
vcfcheck.ploidy,vcfcheck,ploidy,limit,boundary
vcfcheck.negative_limit,vcfcheck,negative_limit,limit,boundary
