sample_id,input_vcf,reference,bam,feature_table,args,bam2,regions_bed
chr21,example/sompy/strelka_admix_snvs.vcf.gz,example/chr21.fa,,generic,,,
chr21_includenonpass,example/sompy/strelka_admix_snvs.vcf.gz,example/chr21.fa,,generic,-P,,
chr21_hcc_strelka_snv,example/sompy/strelka_admix_snvs.vcf.gz,example/chr21.fa,,hcc.strelka.snv,,,
chr21_admix_strelka_snv,example/sompy/strelka_admix_snvs.vcf.gz,example/chr21.fa,,admix.strelka.snv,,,
grch38_hcc_strelka_snv,example/sompy/strelka_grch38_admix_pass_snvs.vcf.gz,example/happy/hg38.chr21.fa,,hcc.strelka.snv,,,
grch38_hcc_strelka_indel,example/sompy/strelka_grch38_admix_pass_indels.vcf.gz,example/happy/hg38.chr21.fa,,hcc.strelka.indel,,,
grch38_admix_strelka_indel,example/sompy/strelka_grch38_admix_pass_indels.vcf.gz,example/happy/hg38.chr21.fa,,admix.strelka.indel,,,
chr21_hcc_strelka_snv_tp,example/sompy/strelka_admix_snvs.vcf.gz,example/chr21.fa,,hcc.strelka.snv,--feature-label TP,,
chr21_hcc_strelka_snv_fn,example/sompy/strelka_admix_snvs.vcf.gz,example/chr21.fa,,hcc.strelka.snv,--feature-label FN,,
ftx_bam_depth,local:assets/fixtures/ftx-bam/input.vcf,local:assets/fixtures/ftx-bam/ref.fa,local:assets/fixtures/ftx-bam/reads.bam,hcc.strelka.snv,--feature-label bam-reference,,
ftx_called_nonref,local:assets/fixtures/ftx-nonref.vcf,local:assets/fixtures/tiny.fa,,generic,,,
ftx_location,local:assets/fixtures/ftx-bam/options.vcf,local:assets/fixtures/ftx-bam/ref.fa,,generic,-l 1:7 --feature-label reference,,
ftx_fix_chr,local:assets/fixtures/ftx-bam/options.vcf,local:assets/fixtures/ftx-bam/ref.fa,,generic,--fix-chr --feature-label reference,,
ftx_normalize,local:assets/fixtures/ftx-bam/normalize.vcf,local:assets/fixtures/ftx-bam/ref.fa,,generic,--normalize --feature-label reference,,
ftx_mutect_snv,local:assets/fixtures/ftx-bam/mutect.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,hcc.mutect.snv,--feature-label reference,,
ftx_varscan2_snv,local:assets/fixtures/ftx-bam/varscan2.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,hcc.varscan2.snv,--feature-label reference,,
ftx_pisces_snv,local:assets/fixtures/ftx-bam/pisces.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,hcc.pisces.snv,--feature-label reference,,
ftx_empty_label,local:assets/fixtures/ftx-bam/options.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,generic,--feature-label '',,
ftx_mutect_indel,local:assets/fixtures/ftx-matrix/mutect-indel.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,hcc.mutect.indel,--feature-label reference,,
ftx_mutect_reversed_samples,local:assets/fixtures/ftx-matrix/mutect-reversed.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,hcc.mutect.snv,--feature-label reference,,
ftx_varscan2_indel,local:assets/fixtures/ftx-matrix/varscan2-indel.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,hcc.varscan2.indel,--feature-label reference,,
ftx_pisces_indel,local:assets/fixtures/ftx-matrix/pisces-indel.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,hcc.pisces.indel,--feature-label reference,,
ftx_selector_normalize,local:assets/fixtures/ftx-matrix/selector-normalize.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,generic,-P --fix-chr -l chr1:5-15 --normalize --feature-label reference,,
ftx_empty_input,local:assets/fixtures/ftx-matrix/empty.vcf,local:assets/fixtures/ftx-matrix/ref.fa,,generic,--feature-label empty-reference,,
ftx_restrict_regions,local:assets/fixtures/pre-matrix/end-span.vcf,local:assets/fixtures/pre-matrix/reference.fa,,generic,-R end-boundary.bed --feature-label reference,,local:assets/fixtures/pre-matrix/end-boundary.bed
ftx_target_regions,local:assets/fixtures/pre-matrix/end-span.vcf,local:assets/fixtures/pre-matrix/reference.fa,,generic,-T end-boundary.bed --feature-label reference,,local:assets/fixtures/pre-matrix/end-boundary.bed
ftx_multi_bam,local:assets/fixtures/ftx-bam/input.vcf,local:assets/fixtures/ftx-bam/ref.fa,local:assets/fixtures/ftx-bam/reads.bam,hcc.strelka.snv,--feature-label multi-bam,local:assets/fixtures/ftx-bam/reads2.bam,
