lane,sample_id,artifacts
happy,chr21,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,chr21_passonly,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,chr21_region,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,chr21_passonly_region,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,chr21_artifact_controls,result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,chr21_unhappy,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,chr21_scmp_somatic,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,synthetic_scmp_distance,result.extended.csv;result.metrics.json.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,chr21_xcmp_controls,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
happy,chr21_preprocess_controls,result.extended.csv;result.metrics.json.gz;result.roc.Locations.INDEL.PASS.csv.gz;result.roc.Locations.INDEL.csv.gz;result.roc.Locations.SNP.PASS.csv.gz;result.roc.Locations.SNP.csv.gz;result.roc.all.csv.gz;result.runinfo.json;result.summary.csv;result.vcf.gz;result.vcf.gz.tbi
